code,city,pref,area_type,trade_radius_km,total_pop,women_40plus,residential_ratio,pop_density,station_density,nearest_station_m,nearest_road_m,station_bonus,road_bonus,location_bonus,comp_in_radius,comp_penalty,barrier_factor,border_bonus,base_score,score_v2,score_v3,score_v4,rank_v3,rank_v4,rank_chg
14104,横浜市中区,神奈川,都心住宅,2.0,151388,44063,0.0483,6963.9369,0.598,1105.0,492.0,1.0,1.0,1.0,4,0.4,1.0,1.0,169.3602,0.5,0.5,2.6,103.0,107.0,-4
12103,千葉市稲毛区,千葉県,都心住宅,2.0,160582,49034,0.0306,7564.6494,0.424,657.0,437.0,1.0,1.0,1.0,3,0.55,1.0,1.0,119.4013,0.1,0.1,2.5,155.0,111.0,44
11212,東松山市,埼玉県,ロードサイド,5.0,91791,28391,0.1393,1404.3063,0.0306,979.0,356.0,1.0,1.3,1.3,1,0.85,1.0,1.0,50.3549,0.6,0.5,2.2,103.0,112.0,-9
11361,横瀬町,埼玉県,ロードサイド,5.0,7979,2788,0.839,161.9005,0.0406,1125.0,846.0,1.0,1.15,1.15,1,0.85,1.95,1.0,29.7828,2.8,2.8,2.2,42.0,112.0,-70
12227,浦安市,千葉県,超都心,1.0,171362,46133,0.0039,9047.9469,0.528,1226.0,466.0,1.0,1.0,1.0,0,1.0,1.0,1.0,57.2699,0.0,0.0,2.2,185.0,112.0,73
11103,さいたま市大宮区,埼玉県,超都心,1.0,117784,34740,0.013,9185.3746,0.5459,43.0,553.0,1.3,1.0,1.3,5,0.3,1.0,1.0,143.7551,0.0,0.0,2.2,185.0,112.0,73
13121,足立区,東京都,超都心,1.0,695043,207657,0.001,13065.5816,0.5076,465.0,34.0,1.15,1.0,1.15,2,0.7,1.0,1.0,66.0993,0.0,0.0,2.1,185.0,116.0,69
11241,鶴ヶ島市,埼玉県,郊外住宅,3.0,70117,22675,0.0748,3975.1309,0.1134,1965.0,246.0,1.0,1.3,1.3,2,0.7,1.0,1.0,59.9869,0.3,0.3,2.1,122.0,116.0,6
14215,海老名市,神奈川,都心住宅,2.0,136516,40947,0.019,5137.6387,0.3011,1480.0,800.0,1.0,1.0,1.0,1,0.85,1.0,1.0,61.9107,0.1,0.1,2.0,155.0,118.0,37
11362,皆野町,埼玉県,ロードサイド,5.0,9302,3423,0.7775,146.0029,0.0314,1123.0,1211.0,1.0,0.85,0.85,1,0.85,1.95,1.0,33.8858,5.9,5.9,1.9,25.0,119.0,-94
13215,国立市,東京都,超都心,1.0,77130,23771,0.0064,9479.012,0.3687,673.0,961.0,1.0,1.0,1.0,0,1.0,1.0,1.0,48.4259,0.0,0.0,1.9,185.0,119.0,66
14363,松田町,神奈川,ロードサイド,5.0,10836,3782,0.7862,286.9354,0.053,4381.0,3614.0,1.0,0.85,0.85,0,1.0,1.5,1.0,37.8586,3.8,3.8,1.9,35.0,119.0,-84
11381,美里町,埼玉県,ロードサイド,5.0,11039,3803,0.8,330.9217,0.03,781.0,632.0,1.0,1.15,1.15,1,0.85,1.3,1.0,38.737,1.8,1.5,1.9,54.0,119.0,-65
14214,伊勢原市,神奈川,ロードサイド,5.0,101780,30762,0.3756,1831.6741,0.072,2503.0,1066.0,1.0,0.85,0.85,4,0.4,1.0,1.0,147.1127,5.9,5.9,1.9,25.0,119.0,-94
11230,新座市,埼玉県,郊外住宅,3.0,166017,50815,0.0547,7290.7971,0.0878,1616.0,812.0,1.0,1.15,1.15,4,0.4,1.0,1.0,98.3076,0.6,0.5,1.8,103.0,124.0,-21
