lat,lng,women_40plus
36.112206,139.913973,43
36.11763,139.903813,112
36.127908,139.907961,265
36.096976,139.949574,278
36.106667,139.943488,17
36.116094,139.938557,165
36.122677,139.951276,310
36.118336,139.961666,413
36.109564,139.960575,361
36.104421,139.956027,119
36.105581,139.951342,6
36.11269,139.946355,119
36.126585,139.936373,228
36.132035,139.945649,261
36.544732,140.518501,210
36.543034,140.527535,185
36.545025,140.526413,231
36.547526,140.524245,190
36.541466,140.52352,18
36.541256,140.528421,101
36.537743,140.529515,386
36.539668,140.52406,40
36.537913,140.524091,15
36.534617,140.522207,166
36.533834,140.527875,371
36.529249,140.529763,548
36.537406,140.521323,140
36.539621,140.522576,19
36.541446,140.522408,15
36.540192,140.520163,193
36.539479,140.543786,1060
36.529803,140.536559,138
36.550074,140.537416,112
36.562301,140.555819,140
36.556127,140.558429,13
36.556065,140.565299,125
36.527069,140.554243,128
36.525532,140.543498,143
36.517135,140.54306,234
36.507401,140.545849,51
36.50059,140.557055,46
36.50669,140.560112,85
36.51531,140.552187,47
36.509584,140.514165,180
36.505746,140.53127,171
36.516775,140.494868,118
36.500029,140.503324,79
36.507141,140.495873,113
36.519532,140.530303,313
36.5164,140.522979,162
36.525381,140.502067,973
36.531928,140.514745,151
36.551158,140.53049,512
36.541205,140.511536,439
36.561162,140.512442,240
36.583203,140.513777,122
36.600618,140.512963,64
36.575896,140.529797,336
36.567717,140.53934,101
36.576144,140.55926,166
36.586097,140.558697,81
36.588404,140.533718,97
36.595386,140.561451,88
36.516217,140.564699,332
36.544665,140.570229,386
36.538506,140.581715,759
36.524658,140.588446,500
36.608605,140.560945,280
36.610457,140.53249,62
36.624577,140.525272,62
36.633171,140.512253,32
36.547621,140.479254,136
36.529838,140.474521,252
36.533805,140.48826,747
36.548226,140.496291,89
36.558724,140.490968,50
36.569447,140.491145,106
36.53397,140.456327,168
36.526967,140.453734,43
36.514999,140.467097,201
36.512689,140.477172,116
36.504466,140.485169,149
36.554952,140.467453,141
36.539074,140.46784,139
36.546564,140.458188,80
36.557488,140.447096,165
36.562909,140.448333,128
36.578554,140.450691,149
36.578437,140.465283,26
36.564001,140.471995,163
36.594864,140.441387,116
36.621479,140.438388,117
36.623886,140.452812,90
36.641337,140.435351,100
36.588165,140.488475,203
36.581057,140.496304,100
36.57488,140.478576,111
36.597027,140.467416,71
36.598508,140.489498,137
36.609596,140.482645,168
36.620362,140.493028,85
36.62827,140.469772,70
36.636433,140.486353,148
36.661896,140.503137,78
36.667603,140.473831,298
36.698224,140.467868,87
36.726297,140.451373,111
36.650026,140.513447,6
36.821899,140.528511,52
36.784291,140.480389,125
36.774553,140.50741,99
36.755348,140.507215,177
36.732613,140.495049,296
36.72955,140.529182,134
36.697595,140.516451,140
36.675134,140.516733,28
36.669584,140.531856,113
36.719201,140.713631,345
36.713099,140.715683,176
36.718025,140.716615,98
36.700948,140.717234,689
36.713212,140.723278,400
36.717222,140.721572,135
36.714658,140.718219,201
36.722255,140.693073,789
36.709578,140.705871,1178
36.70058,140.703288,304
36.708295,140.691372,1668
36.718716,140.665176,638
36.723728,140.722094,350
36.74319,140.717858,186
36.731806,140.709482,1100
36.755096,140.682331,3
36.748499,140.661142,1239
36.815258,140.631295,24
36.829474,140.586333,46
36.787416,140.567908,67
36.776704,140.625121,20
36.747387,140.588944,27
36.720067,140.600629,39
36.711417,140.645548,5
36.782502,140.730224,825
36.781651,140.743169,285
36.769257,140.737773,279
36.754886,140.721533,356
36.765846,140.733135,910
36.7632,140.722305,522
36.761618,140.695385,441
36.774103,140.713603,506
36.777813,140.677373,523
36.814254,140.674016,46
36.795418,140.698765,558
36.793356,140.717407,536
36.803775,140.716824,400
36.794435,140.73091,576
36.804406,140.750368,1508
36.788039,140.7442,113
36.803114,140.736604,180
36.808282,140.725674,307
36.814075,140.717097,101
36.816736,140.733431,352
36.831156,140.72178,87
36.840457,140.704963,148
36.834638,140.678959,290
36.860708,140.638184,41
36.822866,140.758007,348
36.837403,140.749413,215
36.838953,140.771839,101
36.832644,140.781416,181
36.838895,140.779772,155
36.83468,140.793628,556
36.846026,140.784914,898
36.829401,140.798618,186
36.85062,140.791807,692
36.907476,140.592775,19
36.886161,140.646215,22
36.86848,140.700759,262
36.849223,140.738396,85
36.864405,140.747877,253
36.853247,140.761844,371
36.856865,140.776971,366
36.380732,140.26859,2233
36.386388,140.238207,913
36.366955,140.25208,713
36.380911,140.281103,27
36.4294,140.307907,228
36.40813,140.333554,206
36.410568,140.293845,221
36.415738,140.272674,115
36.389596,140.206932,92
36.409301,140.205681,166
36.41353,140.23168,415
36.400772,140.249115,139
36.411183,140.252113,34
36.428327,140.265503,31
36.398935,140.260766,135
36.396584,140.277085,166
36.336534,140.218858,390
36.367072,140.231647,357
36.355478,140.243586,104
36.353103,140.256876,85
36.360355,140.267623,91
36.337489,140.257739,191
36.382834,140.222499,100
36.372195,140.201434,696
36.347689,140.182866,613
36.391672,140.226497,35
36.390508,140.250005,148
36.352185,140.278541,1210
36.349834,140.290536,865
36.337106,140.295279,301
36.323752,140.303574,202
36.316465,140.29753,144
36.325728,140.277863,288
36.335001,140.275558,39
36.358592,140.301954,531
36.356447,140.317005,349
36.327191,140.319436,1956
36.345661,140.327322,1641
36.354038,140.326411,38
36.310669,140.329525,191
36.314851,140.320005,510
36.326753,140.337743,132
36.31441,140.353908,111
36.302076,140.350987,118
36.305337,140.340069,158
36.370409,140.303815,45
36.375601,140.295407,168
36.393311,140.301379,135
36.371292,140.323376,628
36.350555,140.307394,79
36.346007,140.301826,358
36.345259,140.307253,287
36.350956,140.312031,545
36.34508,140.311375,484
36.306644,140.241997,278
36.30561,140.277506,1878
36.294489,140.287531,473
36.283271,140.266616,583
36.277198,140.282372,369
36.274086,140.294122,119
36.305006,140.303512,321
36.289641,140.311712,576
36.283282,140.338614,330
35.903037,140.051721,1500
35.90485,140.064164,138
35.896017,140.04886,7
35.896955,140.05729,1231
35.892962,140.064715,833
35.892147,140.075499,1264
35.889285,140.076219,41
35.896376,140.06873,1029
35.899291,140.069968,607
35.901778,140.06806,1593
35.903559,140.082598,1106
35.898264,140.075628,1164
35.89481,140.078718,120
35.897078,140.084845,600
35.890657,140.085725,235
35.892844,140.093133,99
35.879406,140.076801,110
35.888825,140.113036,837
35.913264,140.063674,936
35.91432,140.055778,921
35.919295,140.065827,940
35.910655,140.07708,224
35.91779,140.046545,1236
